Pole,Lat,Long
ROW01POLE01,53.26818842,-0.52427737
ROW01POLE02,53.26813837,-0.52426541
ROW01POLE03,53.26808856,-0.52425335
ROW01POLE04,53.26803849,-0.52424047
ROW02POLE01,53.26818522,-0.52431449
ROW02POLE02,53.26813509,-0.52430208
ROW02POLE03,53.26808532,-0.52428968
ROW02POLE04,53.26803515,-0.52427742
ROW03POLE01,53.26818187,-0.52435181
ROW03POLE02,53.26813158,-0.52433952
ROW03POLE03,53.26808211,-0.52432693
ROW03POLE04,53.26803182,-0.52431475
ROW04POLE01,53.26817882,-0.52438866
ROW04POLE02,53.26812848,-0.52437636
ROW04POLE03,53.26807903,-0.52436409
ROW04POLE04,53.26802873,-0.52435185
ROW05POLE01,53.26817541,-0.52442589
ROW05POLE02,53.26812517,-0.5244135
ROW05POLE03,53.26807555,-0.5244011
ROW05POLE04,53.2680255,-0.52438878
ROW06POLE01,53.26817238,-0.52446323
ROW06POLE02,53.26812194,-0.52445077
ROW06POLE03,53.26807253,-0.52443819
ROW06POLE04,53.26802228,-0.52442619
ROW07POLE01,53.26816928,-0.52449965
ROW07POLE02,53.26811864,-0.52448766
ROW07POLE03,53.26806932,-0.52447579
ROW07POLE01,53.26801926,-0.52446331
ROW08POLE01,53.26816599,-0.52453691
ROW08POLE02,53.26811528,-0.5245244
ROW08POLE03,53.26806603,-0.52451219
ROW08POLE04,53.26801591,-0.52449999
ROW09POLE01,53.26816264,-0.52457417
ROW09POLE02,53.2681122,-0.52456217
ROW09POLE03,53.26806294,-0.52454963
ROW09POLE04,53.26801275,-0.52453719
ROW10POLE01,53.26815947,-0.52461139
ROW10POLE02,53.26810906,-0.52459885
ROW10POLE03,53.26805976,-0.52458653
ROW10POLE04,53.26800959,-0.52457471
